  Country"," Road fatalities per 100 000 inhabitants per year"," Road fatalities per 100 000 motor vehicles"," Road fatalities per 1 billion vehicle-km"," Total fatalities latest year  (adjusted/estimated figures by WHO report) "," Source  (standard report: The WHO report from 2013, [ 1 ] data from 2010 )"
"
 &nbsp; Seychelles ","15.0","85","n/a","13","2010"
"
 &nbsp; Sierra Leone ","22.6","2940","n/a","1323","2010"
"
 &nbsp; Singapore ","5.1","27.4","n/a","259","2010"
"
 &nbsp; Slovakia ","9.4","22","24.5 [ citation needed ] ","515","2010"
"
 &nbsp; Slovenia ","6.6","10.5","7.6","138","2012 [ 2 ] "
"
 &nbsp; Solomon Islands ","14.7","1541.7","n/a","79","2010"
"
 &nbsp; South Africa ","31.9","156.4","n/a","14 993","March 2011 Road Traffic Report [ 23 ] "
"
 &nbsp; Spain ","4.1","5.8","8.5","1903","2012 [ 24 ] [ 25 ] "
"
 &nbsp; Sri Lanka ","13.7","72.2","n/a","2854","2010"
"
 &nbsp; Sudan ","25.1","9370.2","n/a","10 935","2010"
"
 &nbsp; Suriname ","19.6","54.2","n/a","103","2010"
"
 &nbsp; Swaziland ","23.4","181","n/a","277","2010"
"
 &nbsp; Sweden ","3","5.1","3.7","285","2012 [ 2 ] "
"
 &nbsp;&nbsp; Switzerland ","4.3","5.8","5.6","339","2012 [ 2 ] [ 26 ] [ 27 ] [ 28 ] [ 29 ] "
"
 &nbsp; Syrian Arab Republic ","22.9","225.6","n/a","4669","2010"
"
 &nbsp; Tajikistan ","18.1","347.6","n/a","1244","2010"
"
 &nbsp; Thailand ","38.1","92.4","n/a","26 312","2010"
"
 &nbsp; Timor-Leste ","19.5","2267.1","n/a","219","2010"
"
 &nbsp; Togo ","17.2","2099.2","n/a","1037","2010"
"
 &nbsp; Tonga ","5.8","103.4","n/a","6","2010"
"
 &nbsp; Trinidad and Tobago ","16.7","69.8","n/a","224","2010"
"
 &nbsp; Tunisia ","18.8","132.6","n/a","1974","2010"
"
 &nbsp; Turkey ","9.6","42.6","n/a","7255","2012 [ 30 ] "
"
 &nbsp; Turkmenistan ","18.6 [ 9 ] ","175.5*","","",""
"
 &nbsp; Tuvalu ","9.6 [ 9 ] ","","","",""
"
 &nbsp; Uganda ","28.9","1518.1","n/a","9655","2010"
"
 &nbsp; Ukraine ","13.5 [ 1 ] ","35.3","n/a","5099","2012 [ 31 ] "
"
 &nbsp; United Arab Emirates ","12.7","42.3","310 [ citation needed ] ","956","2010"
"
 &nbsp; United Kingdom ","3.5","6.2","4.3","2175","2012 [ 2 ] "
"
 &nbsp; United Republic of Tanzania ","22.7","1039.6","n/a","10 162","2010"
"
 &nbsp; United States of America ","11.6","13.6","7.6","36 166","2012 [ 2 ] "
"
 &nbsp; Uruguay ","21.5","56.2","n/a","723","2010"
"
 &nbsp; Uzbekistan ","11.3","n/a","n/a","3107","2010"
"
 &nbsp; Vanuatu ","16.3","757.3","n/a","39","2010"
"
 &nbsp; Venezuela ","37.2","266.4","n/a","10 791","2010"
"
 &nbsp; Vietnam ","24.7","65.3","n/a","21 651","2010"
"
 &nbsp; Yemen ","23.7","587.6","n/a","5698","2010"
"
 &nbsp; Zambia ","23.8","923.6","n/a","3117","2010"
"
 &nbsp; Zimbabwe ","14.6","212.4","n/a","1832","2010"
  
